2026-04-16 15:55:32.469 [http-nio-8080-exec-2] INFO  [] o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-04-16 15:55:32.470 [http-nio-8080-exec-2] INFO  [] o.s.web.servlet.DispatcherServlet - Completed initialization in 0 ms
2026-04-16 15:55:32.531 [main] INFO  [] c.h.g.c.config.InitPasswordRunner - admin 密码验证通过
2026-04-16 15:56:57.605 [background-preinit] INFO  [] o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2026-04-16 15:56:57.625 [main] INFO  [] com.huanjing.geo.GeoApplication - Starting GeoApplication using Java 21.0.9 with PID 34628 (D:\code\sanhe-geo-project\geo-project\geo-server\target\classes started by Administrator in D:\code\sanhe-geo-project\geo-project\geo-server)
2026-04-16 15:56:57.626 [main] INFO  [] com.huanjing.geo.GeoApplication - The following 1 profile is active: "dev"
2026-04-16 15:56:58.099 [main] INFO  [] o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2026-04-16 15:56:58.101 [main] INFO  [] o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2026-04-16 15:56:58.124 [main] INFO  [] o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 17 ms. Found 0 Redis repository interfaces.
2026-04-16 15:56:58.515 [main] INFO  [] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2026-04-16 15:56:58.521 [main] INFO  [] o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2026-04-16 15:56:58.522 [main] INFO  [] o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-04-16 15:56:58.522 [main] INFO  [] o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.20]
2026-04-16 15:56:58.562 [main] INFO  [] o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-04-16 15:56:58.563 [main] INFO  [] o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 916 ms
2026-04-16 15:56:58.698 [main] INFO  [] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2026-04-16 15:56:58.783 [main] INFO  [] com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@42b4df5a
2026-04-16 15:56:58.784 [main] INFO  [] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2026-04-16 15:56:58.829 [main] INFO  [] o.f.c.i.license.VersionPrinter - Flyway Community Edition 9.22.3 by Redgate
2026-04-16 15:56:58.829 [main] INFO  [] o.f.c.i.license.VersionPrinter - See release notes here: https://rd.gt/416ObMi
2026-04-16 15:56:58.829 [main] INFO  [] o.f.c.i.license.VersionPrinter - 
2026-04-16 15:56:58.840 [main] INFO  [] org.flywaydb.core.FlywayExecutor - Database: jdbc:mysql://localhost:3306/geo (MySQL 8.0)
2026-04-16 15:56:58.879 [main] INFO  [] o.f.core.internal.command.DbValidate - Successfully validated 57 migrations (execution time 00:00.028s)
2026-04-16 15:56:58.886 [main] INFO  [] o.f.core.internal.command.DbMigrate - Current version of schema `geo`: 56
2026-04-16 15:56:58.888 [main] INFO  [] o.f.core.internal.command.DbMigrate - Schema `geo` is up to date. No migration necessary.
2026-04-16 15:57:00.586 [main] INFO  [] o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@38de4f1d, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@5973d3ec, org.springframework.security.web.context.SecurityContextHolderFilter@11e323a6, org.springframework.security.web.header.HeaderWriterFilter@7d1cdebf, org.springframework.web.filter.CorsFilter@563317c1, org.springframework.security.web.authentication.logout.LogoutFilter@ebd4486, com.huanjing.geo.common.security.JwtAuthenticationFilter@f2fb225, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@18ee9a8f, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@61aaec51, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@7b59f3aa, org.springframework.security.web.session.SessionManagementFilter@62a07c01, org.springframework.security.web.access.ExceptionTranslationFilter@4f578fc2, org.springframework.security.web.access.intercept.AuthorizationFilter@48b53f3d]
2026-04-16 15:57:00.827 [main] INFO  [] o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2026-04-16 15:57:00.837 [main] INFO  [] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
2026-04-16 15:57:00.844 [main] INFO  [] com.huanjing.geo.GeoApplication - Started GeoApplication in 3.516 seconds (process running for 3.692)
2026-04-16 15:57:00.955 [main] INFO  [] c.h.g.c.config.InitPasswordRunner - admin 密码验证通过
2026-04-16 15:57:02.126 [http-nio-8080-exec-1] INFO  [] o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-04-16 15:57:02.127 [http-nio-8080-exec-1] INFO  [] o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-04-16 15:57:02.128 [http-nio-8080-exec-1] INFO  [] o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2026-04-16 16:11:02.646 [pool-3-thread-1] INFO  [] c.h.g.m.d.s.DispatchExecutionService - Dispatch task 32 executed by platform=doubao, model=doubao-seed-2-0-lite-260215, channel=primary, questionPresent=true
2026-04-16 16:26:27.498 [pool-3-thread-2] INFO  [] c.h.g.m.d.s.DispatchExecutionService - Content generation task 33 executed by platform=doubao, model=doubao-seed-2-0-lite-260215, channel=primary
